TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
30,1,1,1,60TPS30sec,18820,29200,60.1,1.71,0.01,0.11,23.6,0.0,14,15292,783.0,19.5,52.8,3.0,132.0,0.21
40,1,0,1,60TPS40sec,17120,30900,60.1,1.50,0.01,0.12,21.6,0.0,12,13092,783.0,16.7,66.6,3.0,156.0,0.29
40,1,1,1,60TPS40sec,18400,29620,60.1,1.81,0.01,0.13,23.7,0.0,17,14812,780.0,19.0,37.1,3.0,129.0,0.25
80,1,0,1,60TPS80sec,10360,37660,60.1,0.97,0.01,0.07,13.0,0.0,6,7412,807.0,9.2,109.2,3.0,234.0,0.41
80,1,1,1,60TPS80sec,14720,33300,60.1,1.29,0.01,0.10,19.0,0.0,8,10052,795.0,12.6,90.9,3.0,195.0,0.51
100,1,0,1,60TPS100sec,13680,34340,60.1,1.03,0.01,0.07,17.9,0.0,6,8352,798.0,10.5,88.8,3.0,204.0,0.7
100,1,1,1,60TPS100sec,11820,36200,60.1,0.86,0.01,0.07,15.1,0.0,6,8432,798.0,10.6,119.4,3.0,288.0,0.42
60,1,0,1,60TPS60sec,15260,32760,60.1,1.33,0.01,0.09,21.7,0.0,11,12732,789.0,16.1,71.0,3.0,126.0,0.35
60,1,1,1,60TPS60sec,14380,33640,60.1,1.10,0.01,0.08,18.0,0.0,11,10412,795.0,13.1,67.0,3.0,207.0,0.37
20,1,0,1,60TPS20sec,19080,28940,60.1,1.96,0.01,0.11,24.1,0.0,21,17412,774.0,22.5,40.1,3.0,72.0,0.07
20,1,1,1,60TPS20sec,20740,27280,60.1,2.17,0.01,0.16,26.2,0.0,21,18032,774.0,23.3,34.2,3.0,66.0,0.12
3,1,0,1,60TPS3sec,26260,21760,60.1,3.04,0.01,0.19,32.9,0.0,81,24532,747.0,32.8,12.3,3.0,42.0,0.0
3,1,1,1,60TPS3sec,27060,20960,60.1,3.21,0.01,0.23,33.8,0.0,86,25312,744.0,34.0,12.6,3.0,30.0,-0.01
50,1,0,1,60TPS50sec,15600,32420,60.1,1.61,0.01,0.10,19.5,0.0,13,13492,792.0,17.0,64.2,3.0,162.0,0.15
50,1,1,1,60TPS50sec,15120,32900,60.1,1.06,0.01,0.08,18.9,0.0,8,10552,792.0,13.3,95.1,3.0,180.0,0.42
