round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round6,Docker,sawtooth-rest-api-1,29.7MB,29.6MB,0.53%,0.25%,10.4MB,10.6MB,0B,0B
round6,Docker,sawtooth-intkey-tp-python...ult-1,30.3MB,29.6MB,45.14%,2.60%,6.8MB,3.4MB,0B,0B
round6,Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.00%,0.00%,5.9KB,0B,0B,0B
round6,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,5.9KB,0B,0B,0B
round6,Docker,sawtooth-rest-api-0,29.1MB,28.8MB,0.42%,0.25%,10.4MB,10.6MB,0B,0B
round6,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,5.9KB,0B,0B,0B
round6,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.00%,0.00%,5.9KB,0B,0B,0B
round6,Docker,sawtooth-intkey-tp-python...ult-0,30.3MB,29.7MB,42.82%,2.66%,7.0MB,3.3MB,0B,0B
round6,Docker,sawtooth-validator-1,1.2GB,1.1GB,103.17%,98.87%,16.1MB,7.1MB,0B,0B
round6,Docker,sawtooth-validator-0,1.2GB,1.1GB,105.52%,98.42%,13.4MB,9.9MB,0B,0B
