Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,10,1,sawtooth-intkey-tp-python...ult-3,25.0,22.3,52.04,15.03,29.3,14.5,0,0
4,10,1,sawtooth-rest-api-2,26.3,26.1,0.74,0.03,944.5,960.4,0,0
4,10,1,sawtooth-settings-tp-2,20.9,20.9,0.00,0.00,2.4,0,0,0
4,10,1,sawtooth-intkey-tp-python...ult-2,24.8,22.4,52.81,17.47,31.4,15.7,0,0
4,10,1,sawtooth-poet-validator-r...-tp-2,46.8,46.8,0.00,0.00,2.4,0,0,0
4,10,1,sawtooth-rest-api-0,39.5,33.0,46.54,7.43,233.0,387.1,0,0
4,10,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,2.5,0,0,0
4,10,1,sawtooth-intkey-tp-python...ult-0,23.6,22.1,51.24,12.03,20.7,10.2,0,0
4,10,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,2.3,0,0,0
4,10,1,sawtooth-validator-1,340.3,194.9,101.31,38.12,34.1,34.7,0,0
4,10,1,sawtooth-validator-3,292.0,174.4,102.65,34.47,28.8,37.1,0,0
4,10,1,sawtooth-validator-2,343.9,198.6,100.38,38.49,34.8,34.4,0,0
4,10,1,sawtooth-validator-0,255.5,173.8,96.77,26.91,26.4,299.1,0,0
4,10,2,sawtooth-rest-api-3,26.3,26.3,0.75,0.03,959.8,977.8,0,0
4,10,2,sawtooth-settings-tp-3,20.6,20.6,0.00,0.00,2.2,0,0,0
4,10,2,sawtooth-intkey-tp-python...ult-3,23.3,21.7,50.64,10.92,18.8,9.4,0,0
4,10,2,sawtooth-poet-validator-r...-tp-3,46.7,46.7,0.00,0.00,2.3,0,0,0
4,10,2,sawtooth-shell-default,29.4,12.2,79.53,16.18,904.4,6.3,0,0
4,10,2,sawtooth-rest-api-1,26.2,26.2,0.69,0.03,944.7,961.4,0,0
4,10,2,sawtooth-intkey-tp-python...ult-1,23.2,21.6,50.40,11.09,18.9,9.4,0,0
4,10,2,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,2.2,0,0,0
4,10,2,sawtooth-settings-tp-1,20.8,20.8,0.00,0.00,2.3,0,0,0
4,10,2,sawtooth-rest-api-0,83.5,42.6,101.15,14.57,544.4,907.6,0,0
4,10,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,2.3,0,0,0
4,10,2,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,2.2,0,0,0
4,10,2,sawtooth-intkey-tp-python...ult-0,23.1,21.5,54.96,11.11,19.3,9.6,0,0
4,10,2,sawtooth-rest-api-2,26.4,26.3,0.69,0.03,944.7,962.0,0,0
4,10,2,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,2.3,0,0,0
4,10,2,sawtooth-intkey-tp-python...ult-2,22.9,21.4,46.38,9.19,16.5,8.2,0,0
4,10,2,sawtooth-settings-tp-2,20.9,20.9,0.00,0.00,2.3,0,0,0
4,10,2,sawtooth-validator-2,261.3,158.3,102.58,23.48,16.1,22.6,0,0
4,10,2,sawtooth-validator-1,276.6,164.8,99.20,25.70,20.8,21.5,0,0
