Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
1,1,1,30TPS,24700,5320,30,2.4,0.01,0.11,24.8,0,33,22072,950,23.2,32.5,5,80,0.07
1,2,1,30TPS,23040,6980,30,1.91,0.01,0.1,23.1,0,25,19992,950,21,39.5,5,90,0.1
1,0,1,35TPS,23660,11360,35,2.19,0.01,0.13,23.7,0,33,22072,950,23.2,34.4,5,95,0.02
1,1,1,35TPS,24600,10420,35,2.72,0.01,0.14,24.8,0,31,22572,950,23.8,35.4,5,90,0.04
1,2,1,35TPS,22580,12440,35,2.17,0.01,0.12,22.7,0,23,19752,950,20.8,48.1,5,95,0.09
1,0,1,40TPS,24160,15860,40,2.23,0.01,0.11,24.2,0,26,20892,950,22,35.4,5,95,0.1
1,1,1,40TPS,24200,15820,40,2.34,0.01,0.13,24.2,0,26,20892,960,21.8,35.4,5,90,0.11
1,2,1,40TPS,23780,16240,40,2.35,0.01,0.13,23.8,0,29,20872,960,21.7,34.6,5,100,0.1
2,0,1,5TPS,5020,0,5,0.63,0.01,0.03,5,0.069,68,4993,1025,4.9,17.5,5,60,0.02
2,1,1,5TPS,5020,0,5,0.3,0.01,0.02,5,0.092,60,4973,1025,4.9,18.6,5,70,0.02
2,2,1,5TPS,5020,0,5,0.31,0.01,0.03,5,0.051,75,4973,1025,4.9,15.5,5,90,0.02
2,0,1,10TPS,10020,0,10,0.05,0.01,0.02,10,0.074,63,9893,1005,9.8,18.8,5,65,0.02
2,1,1,10TPS,10020,0,10,1.15,0.01,0.05,10,0.122,73,9453,1000,9.5,15.6,5,65,0.05
2,2,1,10TPS,10020,0,10,0.08,0.01,0.02,10,0.103,62,9553,1000,9.6,18.3,5,60,0.04
2,0,1,15TPS,14920,100,15,1.48,0.01,0.04,15,0.123,65,13633,985,13.8,16.3,5,60,0.09
2,1,1,15TPS,14840,180,15,1.15,0.01,0.04,14.9,0.101,63,12893,980,13.2,21.4,5,115,0.13
2,2,1,15TPS,14640,380,15,1.45,0.01,0.05,14.7,0.092,60,11533,975,11.8,14.8,5,100,0.25
2,0,1,20TPS,18300,1720,20,1.92,0.01,0.11,18.3,0.27,45,15213,995,15.3,25.4,5,105,0.2
2,1,1,20TPS,18640,1380,20,1.89,0.01,0.11,18.7,0.344,43,15013,980,15.3,22.9,5,70,0.22
2,2,1,20TPS,17520,2500,20,2.05,0.01,0.11,17.5,0.212,53,15113,965,15.7,20.7,5,100,0.11
2,0,1,25TPS,21760,3260,25,1.97,0.01,0.06,21.8,0.385,39,17173,985,17.4,25.9,5,95,0.25
2,1,1,25TPS,18400,6620,25,1.59,0.01,0.05,18.4,0.346,33,15933,985,16.2,31.3,5,90,0.14
2,2,1,25TPS,20120,4900,25,1.55,0.01,0.05,20.1,0.5,38,17313,985,17.6,27.9,5,80,0.14
2,0,1,30TPS,19860,10160,30,1.91,0.01,0.06,19.9,0.455,30,15293,985,15.5,33.9,5,75,0.28
2,1,1,30TPS,19580,10440,30,1.48,0.01,0.05,20.2,0.423,30,6001,985,6.1,35,5,70,2.31
2,2,1,30TPS,19400,10620,30,1.87,0.01,0.06,19.4,0.436,31,9001,990,9.1,35,5,90,1.13
2,0,1,35TPS,19940,15080,35,1.41,0.01,0.04,20,0.508,30,16533,985,16.8,36.2,5,90,0.19
