TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
50,8,0,1,15TPS50sec,5780,6240,15.1,0.36,0.01,0.04,7.3,0.788,12,2759,849.0,3.2,41.5,3.0,144.0,1.28
50,8,1,1,15TPS50sec,5700,6320,15.1,0.14,0.01,0.03,7.1,0.759,14,1779,843.0,2.1,43.4,3.0,147.0,2.38
60,8,0,1,15TPS60sec,8200,3820,15.1,0.50,0.01,0.04,10.3,0.696,15,3839,831.0,4.6,29.1,3.0,147.0,1.24
60,8,1,1,15TPS60sec,9400,2620,15.1,0.60,0.01,0.04,11.8,0.286,21,5219,828.0,6.3,16.7,3.0,111.0,0.87
80,8,0,1,15TPS80sec,7020,5000,15.1,0.40,0.01,0.04,8.8,0.773,6,3299,840.0,3.9,34.0,3.0,102.0,1.26
80,8,1,1,15TPS80sec,5120,6900,15.1,0.16,0.01,0.04,6.4,0.75,12,1599,846.0,1.9,53.1,3.0,168.0,2.37
100,8,0,1,15TPS100sec,6660,5360,15.1,0.61,0.01,0.05,8.4,0.594,14,2979,837.0,3.6,31.8,3.0,126.0,1.33
100,8,1,1,15TPS100sec,5800,6220,15.1,0.22,0.01,0.04,7.3,0.774,8,1459,855.0,1.7,45.9,3.0,111.0,3.29
3,8,0,1,20TPS3sec,3320,12700,20.1,0.13,0.01,0.03,4.2,0.959,15,819,858.0,1.0,39.0,3.0,198.0,3.2
3,8,1,1,20TPS3sec,3140,12880,20.1,0.07,0.01,0.03,3.9,0.947,18,939,852.0,1.1,35.2,3.0,138.0,2.55
5,8,0,1,20TPS5sec,4160,11860,20.1,0.10,0.01,0.03,5.2,0.921,18,1179,855.0,1.4,34.6,3.0,120.0,2.71
5,8,1,1,20TPS5sec,5000,11020,20.1,0.11,0.01,0.03,6.3,0.923,18,1059,861.0,1.2,42.8,3.0,150.0,4.25
10,8,0,1,20TPS10sec,5080,10940,20.1,0.15,0.01,0.03,6.4,0.849,20,1859,846.0,2.2,28.1,3.0,123.0,1.91
10,8,1,1,20TPS10sec,5880,10140,20.1,0.14,0.01,0.03,7.4,0.689,33,2339,840.0,2.8,11.6,3.0,120.0,1.64
20,8,0,1,20TPS20sec,6520,9500,20.1,0.12,0.01,0.03,8.2,0.811,18,1699,855.0,2.0,22.7,3.0,177.0,3.1
20,8,1,1,20TPS20sec,6520,9500,20.1,0.28,0.01,0.04,8.2,0.733,21,1939,798.0,2.4,22.3,3.0,132.0,2.42
30,8,0,1,20TPS30sec,9580,6440,20.1,1.42,0.01,0.04,12.0,0.506,44,7619,807.0,9.4,13.5,3.0,117.0,0.28
30,8,1,1,20TPS30sec,6440,9580,20.1,0.11,0.01,0.03,8.1,0.656,22,2379,852.0,2.8,21.7,3.0,123.0,1.89
40,8,0,1,20TPS40sec,6160,9860,20.1,0.49,0.01,0.04,9.8,0.676,13,2619,834.3,3.1,23.0,3.0,99.0,2.16
40,8,1,1,20TPS40sec,6140,9880,20.1,0.16,0.01,0.03,7.7,0.833,7,3399,846.0,4.0,66.9,3.0,225.0,0.93
50,8,0,1,20TPS50sec,7540,8480,20.1,0.29,0.01,0.04,9.4,0.812,7,2839,840.0,3.4,72.0,3.0,132.0,1.76
50,8,1,1,20TPS50sec,6840,9180,20.1,0.18,0.01,0.04,8.6,0.735,10,3039,858.0,3.5,42.7,3.0,135.0,1.46
60,8,0,1,20TPS60sec,6780,9240,20.1,0.19,0.01,0.04,8.6,0.829,7,2479,852.0,2.9,48.0,3.0,162.0,1.97
60,8,1,1,20TPS60sec,5140,10880,20.1,0.21,0.01,0.03,7.4,0.721,n/a,n/a,n/a,n/a,n/a,n/a/,n/a,n/a
80,8,0,1,20TPS80sec,7080,8940,20.1,0.25,0.01,0.04,8.9,0.786,7,2739,855.0,3.2,35.6,3.0,117.0,1.78
80,8,1,1,20TPS80sec,8680,7340,20.1,0.53,0.01,0.05,10.9,0.37,18,5179,822.0,6.3,20.5,3.0,141.0,0.73
100,8,0,1,20TPS100sec,8400,7620,20.1,0.76,0.01,0.05,10.6,0.533,15,4559,822.0,5.5,25.1,3.0,177.0,0.93
100,8,1,1,20TPS100sec,7700,8320,20.1,0.64,0.01,0.05,9.6,0.615,11,3059,837.1,3.7,23.7,3.0,108.0,1.59
3,8,0,1,30TPS3sec,4340,19680,30.1,0.24,0.01,0.03,5.4,0.928,20,1019,852.0,1.2,45.2,3.0,111.0,3.5
3,8,1,1,30TPS3sec,3840,20180,30.1,0.08,0.01,0.03,4.8,0.946,18,1059,852.0,1.2,49.4,3.0,159.0,3.0
5,8,0,1,30TPS5sec,3800,20220,30.1,0.18,0.01,0.03,4.9,0.943,16,699,867.0,0.8,38.4,3.0,171.0,5.12
5,8,1,1,30TPS5sec,3900,20120,30.1,0.07,0.01,0.03,4.9,0.934,17,1299,846.0,1.5,42.8,3.0,108.0,2.27
10,8,0,1,30TPS10sec,4120,19900,30.1,0.11,0.01,0.03,5.2,0.95,10,1219,849.0,1.4,51.0,3.0,204.0,2.71
10,8,1,1,30TPS10sec,4260,19760,30.1,0.20,0.01,0.03,5.5,0.91,14,1179,846.0,1.4,51.0,3.0,198.0,2.93
20,8,0,1,30TPS20sec,5560,18460,30.1,0.18,0.01,0.03,7.0,0.817,14,1559,855.0,1.8,52.4,3.0,150.0,2.89
20,8,1,1,30TPS20sec,6260,17760,30.1,0.11,0.01,0.03,7.8,0.895,9,1619,849.0,1.9,54.8,3.0,207.0,3.11
30,8,0,1,30TPS30sec,5640,18380,30.1,0.34,0.01,0.04,7.5,0.827,10,2339,837.0,2.8,61.7,3.0,201.0,1.68
30,8,1,1,30TPS30sec,5220,18800,30.1,0.13,0.01,0.03,7.0,0.811,15,1079,846.0,1.3,34.7,3.0,168.0,4.38
