Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
1,35,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,35,1,sawtooth-intkey-tp-python...ult-0,27.5,24.3,47.01,15.63,50.2,24.8,0,0
1,35,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.3,0,0,0
1,35,1,sawtooth-validator-0,1.0,593.3,110.61,92.40,55.3,1.3,0,0
1,35,2,sawtooth-shell-default,41.5,18.1,58.38,10.29,2.0,13.9,0,0
1,35,2,sawtooth-rest-api-0,263.5,82.2,100.66,22.27,1.2,2.0,0,0
1,35,2,sawtooth-intkey-tp-python...ult-0,26.6,23.6,47.49,14.11,44.9,22.2,0,0
1,35,2,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,35,2,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.3,0,0,0
1,35,2,sawtooth-validator-0,974.7,536.2,108.05,92.98,52.4,1.2,0,0
1,40,0,sawtooth-shell-default,26.1,18.4,52.61,11.32,2.1,14.3,0,0
1,40,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.4,0,0,0
1,40,0,sawtooth-intkey-tp-python...ult-0,27.0,24.0,47.38,14.26,46.9,23.1,0,0
1,40,0,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.3,0,0,0
1,40,0,sawtooth-rest-api-0,243.8,83.3,101.12,21.95,1.3,2.1,0,0
1,40,0,sawtooth-validator-0,935.6,561.5,107.64,93.16,57.0,1.3,0,0
1,40,1,sawtooth-shell-default,113.5,19.4,57.41,10.89,2.1,14.6,0,0
1,40,1,sawtooth-rest-api-0,228.2,87.5,100.38,22.90,1.3,2.1,0,0
1,40,1,sawtooth-intkey-tp-python...ult-0,27.1,24.2,43.41,14.54,47.3,23.3,0,0
1,40,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.3,0,0,0
1,40,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.2,0,0,0
1,40,1,sawtooth-validator-0,955.0,582.1,109.27,92.89,57.3,1.3,0,0
1,40,2,sawtooth-shell-default,103.7,19.1,55.74,10.55,2.1,14.5,0,0
1,40,2,sawtooth-intkey-tp-python...ult-0,26.8,23.9,45.68,14.22,46.0,22.7,0,0
1,40,2,sawtooth-settings-tp-0,20.3,20.3,0.00,0.00,10.3,0,0,0
1,40,2,sawtooth-rest-api-0,268.6,82.5,100.42,23.06,1.3,2.1,0,0
1,40,2,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.2,0,0,0
1,40,2,sawtooth-validator-0,954.9,555.0,111.71,91.12,56.6,1.3,0,0
