Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
10,0,1,30TPS,2260,27760,30.0,0.28,0.01,0.13,2.3,0.883,12,301,1035.0,0.3,51.1,5.0,140.0,6.67
10,1,1,30TPS,1840,28180,30.0,0.31,0.01,0.12,1.9,0.878,13,361,1030.0,0.4,70.9,5.0,140.0,3.75
10,2,1,30TPS,1960,28060,30.0,0.38,0.01,0.13,2.1,0.947,9,501,1330.0,0.4,120.7,5.0,390.0,4.25
10,0,1,35TPS,2760,32260,35.0,0.37,0.01,0.08,2.8,0.934,8,1021,1040.4,1.0,92.9,5.0,310.0,1.8
10,1,1,35TPS,2400,32620,35.0,0.36,0.01,0.12,2.6,0.923,9,241,1040.0,0.2,58.8,5.0,225.0,12.0
10,2,1,35TPS,2120,32900,35.0,0.25,0.01,0.11,2.2,0.913,10,341,1040.0,0.3,71.2,5.0,145.0,6.33
10,0,1,40TPS,2760,37260,40.0,0.27,0.01,0.09,2.8,0.94,9,1281,1325.0,1.0,88.1,5.0,210.0,1.8
10,1,1,40TPS,2580,37440,40.0,0.26,0.01,0.08,3.0,0.941,9,1221,1340.0,0.9,90.6,5.0,240.0,2.33
10,2,1,40TPS,2120,37900,40.0,0.33,0.01,0.11,2.2,0.95,10,321,1335.0,0.2,98.8,5.0,400.0,10.0
10,0,1,50TPS,2820,47200,50.0,0.34,0.01,0.10,2.8,0.918,9,701,1040.0,0.7,63.8,5.0,200.0,3.0
10,1,1,50TPS,2240,47780,50.0,0.43,0.01,0.10,2.3,0.947,9,501,1350.0,0.4,80.0,5.0,260.0,4.75
10,2,1,50TPS,2060,47960,50.0,0.25,0.01,0.09,2.2,0.913,10,661,1035.0,0.6,77.2,5.0,190.0,2.67
10,0,1,55TPS,2280,52740,55.0,0.37,0.01,0.13,2.3,0.908,10,221,1030.0,0.2,73.1,5.0,285.0,10.5
10,1,1,55TPS,20600,34420,55.0,0.31,0.01,0.07,20.6,1.005,5,401,105.0,3.8,18.3,5.0,40.0,4.42
10,2,1,55TPS,2820,52200,55.0,0.33,0.01,0.09,2.9,0.925,8,901,1030.0,0.9,57.1,5.0,210.0,2.22
12,0,1,5TPS,1720,3300,5.0,0.29,0.01,0.14,1.8,0.896,14,223,1305.0,0.2,40.6,5.0,170.0,8.0
12,1,1,5TPS,1700,3320,5.0,0.37,0.01,0.13,3.2,0.914,10,163,1030.0,0.2,62.9,5.0,200.0,15.0
12,2,1,5TPS,1740,3280,5.0,0.31,0.01,0.13,1.8,0.936,9,183,1040.0,0.2,63.6,5.0,265.0,8.0
