Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,5,0,sawtooth-settings-tp-3,20.7,20.7,0.00,0.00,10.7,0,0,0
4,5,0,sawtooth-validator-2,375.6,238.3,104.74,79.13,49.5,53.5,0,0
4,5,0,sawtooth-validator-0,388.8,259.7,115.03,83.90,51.0,404.6,0,0
4,5,0,sawtooth-validator-1,357.9,241.5,108.80,80.59,50.4,52.4,0,0
4,5,0,sawtooth-validator-3,367.5,243.1,105.26,79.61,49.3,54.2,0,0
4,5,1,sawtooth-poet-validator-r...-tp-2,46.9,46.9,0.00,0.00,10.4,0,0,0
4,5,1,sawtooth-intkey-tp-python...ult-2,27.2,24.0,54.07,35.39,49.7,25.3,0,0
4,5,1,sawtooth-rest-api-2,27.9,27.4,0.94,0.24,5.6,5.7,0,0
4,5,1,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,10.4,0,0,0
4,5,1,sawtooth-shell-default,41.7,14.2,90.54,29.79,525.0,3.8,0,0
4,5,1,sawtooth-rest-api-1,27.9,27.5,0.90,0.25,5.6,5.7,0,0
4,5,1,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.4,0,0,0
4,5,1,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,10.5,0,0,0
4,5,1,sawtooth-intkey-tp-python...ult-1,27.2,23.9,55.59,36.34,50.3,25.6,0,0
4,5,1,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.6,0,0,0
4,5,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,10.4,0,0,0
4,5,1,sawtooth-rest-api-0,70.4,39.1,101.57,18.97,322.9,532.1,0,0
4,5,1,sawtooth-intkey-tp-python...ult-0,27.1,23.9,54.78,34.34,48.1,24.5,0,0
4,5,1,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,10.6,0,0,0
4,5,1,sawtooth-rest-api-3,28.1,27.5,0.97,0.25,5.5,5.7,0,0
4,5,1,sawtooth-settings-tp-3,20.7,20.7,0.00,0.00,10.6,0,0,0
4,5,1,sawtooth-intkey-tp-python...ult-3,27.1,23.7,55.43,36.16,50.6,25.8,0,0
4,5,1,sawtooth-validator-1,396.1,254.5,107.86,79.85,52.2,87.3,0,0
4,5,1,sawtooth-validator-0,386.7,255.4,110.38,83.44,53.5,397.7,0,0
4,5,1,sawtooth-validator-2,393.7,245.5,106.77,80.38,52.2,57.4,0,0
4,5,1,sawtooth-validator-3,364.3,243.5,106.33,80.78,53.5,57.4,0,0
4,5,2,sawtooth-shell-default,42.4,15.6,94.13,27.07,598.6,4.3,248.0,0
4,5,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.4,0,0,0
4,5,2,sawtooth-rest-api-0,74.9,41.5,102.87,20.06,364.9,605.9,0,0
4,5,2,sawtooth-intkey-tp-python...ult-0,26.6,23.8,54.14,30.84,44.2,22.5,0,0
4,5,2,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.4,0,0,0
4,5,2,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.5,0,0,0
4,5,2,sawtooth-rest-api-1,27.9,27.2,0.93,0.25,5.6,5.7,0,0
4,5,2,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,10.5,0,0,0
4,5,2,sawtooth-intkey-tp-python...ult-1,26.7,23.6,54.78,32.40,46.9,23.8,0,0
4,5,2,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,10.5,0,0,0
