Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
2,60,1,sawtooth-intkey-tp-python...ult-1,28.9,24.8,52.93,18.18,61.0,30.9,0,0
2,60,1,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.7,0,0,0
2,60,1,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.7,0,0,0
2,60,1,sawtooth-validator-1,825.8,507.2,115.59,90.15,66.8,87.0,0,0
2,60,1,sawtooth-validator-0,945.5,571.2,119.17,96.28,79.1,1.1,0,0
2,60,2,sawtooth-shell-default,87.9,17.8,63.82,10.83,1.8,12.4,0,0
2,60,2,sawtooth-settings-tp-1,20.5,20.5,0.00,0.00,10.8,0,0,0
2,60,2,sawtooth-poet-validator-r...-tp-1,46.5,46.5,0.00,0.00,10.7,0,0,0
2,60,2,sawtooth-rest-api-1,28.3,27.8,1.40,0.43,22.2,22.7,0,0
2,60,2,sawtooth-intkey-tp-python...ult-1,29.0,25.0,54.29,18.93,63.9,32.4,0,0
2,60,2,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.7,0,0,0
2,60,2,sawtooth-intkey-tp-python...ult-0,27.8,24.7,51.28,16.44,54.8,27.9,0,0
2,60,2,sawtooth-rest-api-0,173.9,69.6,100.44,22.45,1.1,1.8,0,0
2,60,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.8,0,0,0
2,60,2,sawtooth-validator-1,814.4,543.9,109.29,92.62,70.8,88.0,0,0
2,60,2,sawtooth-validator-0,950.7,606.0,122.93,97.31,77.8,1.1,0,0
2,70,0,sawtooth-shell-default,42.2,17.3,64.37,11.90,1.8,11.9,128.0,0
2,70,0,sawtooth-rest-api-1,28.3,27.8,0.93,0.50,26.0,26.5,0,0
2,70,0,sawtooth-poet-validator-r...-tp-1,46.6,46.6,0.00,0.00,10.8,0,0,0
2,70,0,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.7,0,0,0
2,70,0,sawtooth-intkey-tp-python...ult-1,29.6,25.2,53.20,20.24,68.0,34.3,0,0
2,70,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.6,0,0,0
2,70,0,sawtooth-rest-api-0,227.1,68.4,101.45,22.68,1.1,1.8,0,0
2,70,0,sawtooth-intkey-tp-python...ult-0,28.5,24.9,53.20,17.41,59.1,30.3,0,0
2,70,0,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,10.6,0,0,0
2,70,0,sawtooth-validator-1,911.0,544.1,114.81,89.99,71.8,102.8,0,0
2,70,0,sawtooth-validator-0,988.1,582.2,117.83,97.78,94.3,1.1,0,0
2,70,1,sawtooth-shell-default,80.2,17.8,63.93,12.69,1.8,12.6,0,0
2,70,1,sawtooth-intkey-tp-python...ult-1,29.8,25.3,54.24,20.43,69.3,35.2,0,0
2,70,1,sawtooth-poet-validator-r...-tp-1,46.6,46.6,0.00,0.00,10.6,0,0,0
2,70,1,sawtooth-settings-tp-1,20.8,20.8,0.00,0.00,10.7,0,0,0
2,70,1,sawtooth-rest-api-1,28.9,28.1,0.96,0.49,25.9,26.5,0,0
2,70,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.6,0,0,0
2,70,1,sawtooth-rest-api-0,185.6,65.9,100.61,22.51,1.1,1.9,0,0
2,70,1,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,10.6,0,0,0
2,70,1,sawtooth-intkey-tp-python...ult-0,28.9,25.2,53.63,18.32,62.1,31.7,0,0
2,70,1,sawtooth-validator-1,784.0,540.8,111.93,85.58,75.0,95.9,0,0
2,70,1,sawtooth-validator-0,948.1,582.5,116.51,97.37,87.7,1.2,0,0
2,70,2,sawtooth-shell-default,63.5,17.8,66.94,12.74,1.9,12.9,0,0
2,70,2,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.62,0.00,15.8,3.7,0,0
2,70,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.7,0,0,0
2,70,2,sawtooth-rest-api-0,190.0,68.7,100.30,22.32,1.2,1.9,0,0
2,70,2,sawtooth-intkey-tp-python...ult-0,28.2,24.5,53.88,17.14,57.2,29.1,0,0
2,70,2,sawtooth-intkey-tp-python...ult-1,29.2,24.9,52.36,18.83,64.2,32.6,0,0
2,70,2,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,15.7,3.7,0,0
2,70,2,sawtooth-rest-api-1,28.6,28.0,1.74,0.49,25.9,26.5,0,0
2,70,2,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.8,0,0,0
2,70,2,sawtooth-validator-0,960.7,574.9,113.80,94.65,81.7,1.2,0,0
2,70,2,sawtooth-validator-1,849.7,540.5,113.01,81.33,74.3,87.2,0,0
2,80,0,sawtooth-shell-default,75.9,16.4,65.91,11.29,1.7,11.6,0,0
2,80,0,sawtooth-rest-api-0,200.3,65.6,101.28,21.54,1.0,1.7,0,0
2,80,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.6,0,0,0
2,80,0,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.6,0,0,0
2,80,0,sawtooth-intkey-tp-python...ult-0,28.3,24.6,53.98,17.31,58.3,29.9,0,0
2,80,0,sawtooth-rest-api-1,28.6,28.0,1.73,0.56,29.6,30.3,0,0
2,80,0,sawtooth-intkey-tp-python...ult-1,29.4,24.9,54.17,19.96,66.2,33.4,0,0
2,80,0,sawtooth-poet-validator-r...-tp-1,46.6,46.6,0.00,0.00,10.5,0,0,0
2,80,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.5,0,0,0
